Dates,SSO,SDS,QLD,QID,DDM,DXD
7/12/2006,2.4,0.002,9.6,0,2.7,0.003
7/13/2006,1.2,0.002,9.6,0,1.35,0.003
7/14/2006,2.4,0.002,9.6,0,2.7,0.003
7/17/2006,2.4,0.002,9.6,0,2.7,0.003
7/18/2006,2.4,0.002,9.6,0,2.7,0.003
7/19/2006,3.6,0.004,12,0.001,2.7,0.003
7/20/2006,3.6,0.004,12,0.001,2.7,0.003
7/21/2006,3.6,0.004,26.4,0.002,2.7,0.003
7/24/2006,3.6,0.004,26.4,0.002,2.7,0.003
7/25/2006,4.8,0.006,33.6,0.003,5.4,0.003
7/26/2006,4.8,0.006,33.6,0.003,5.4,0.003
7/27/2006,4.8,0.006,33.6,0.003,5.4,0.003
7/28/2006,4.8,0.006,33.6,0.003,5.4,0.003
7/31/2006,4.8,0.008,40.8,0.003,5.4,0.003
8/1/2006,4.8,0.008,40.8,0.003,5.4,0.003
8/2/2006,4.8,0.008,40.8,0.003,5.4,0.003
8/3/2006,4.8,0.008,40.8,0.003,5.4,0.003
8/4/2006,4.8,0.008,40.8,0.003,5.4,0.003
8/7/2006,4.8,0.01,40.8,0.004,5.4,0.003
8/8/2006,4.8,0.01,40.8,0.004,7.2,0.003
8/9/2006,4.8,0.01,40.8,0.004,7.2,0.003
8/10/2006,4.8,0.014,40.8,0.005,7.2,0.005
8/11/2006,4.8,0.014,40.8,0.005,7.2,0.005
8/14/2006,4.8,0.014,40.8,0.005,7.2,0.005
8/15/2006,6,0.016,40.8,0.006,7.2,0.005
8/16/2006,6,0.016,40.8,0.006,7.2,0.005
8/17/2006,6,0.016,40.8,0.006,7.2,0.005
8/18/2006,6,0.016,40.8,0.007,6.3,0.005
8/21/2006,6,0.016,40.8,0.007,6.3,0.005
8/22/2006,6.6,0.018,48,0.007,3.6,0.005
8/23/2006,6.6,0.018,48,0.007,2.7,0.005
8/24/2006,6.6,0.018,48,0.007,2.7,0.005
8/25/2006,6.6,0.018,48,0.007,2.7,0.007
8/28/2006,6.6,0.018,48,0.007,2.7,0.007
8/29/2006,6.6,0.021,48,0.008,2.7,0.007
8/30/2006,6.6,0.021,48,0.008,2.7,0.007
8/31/2006,6.6,0.021,48,0.008,2.7,0.007
9/1/2006,6.6,0.021,48,0.009,2.7,0.007
9/5/2006,7.8,0.023,48,0.01,2.7,0.007
9/6/2006,7.8,0.023,48,0.01,2.7,0.007
9/7/2006,7.8,0.025,48,0.011,2.7,0.007
9/8/2006,7.8,0.03,48,0.011,2.7,0.009
9/11/2006,7.8,0.03,48,0.012,2.7,0.009
9/12/2006,7.8,0.03,48,0.012,2.7,0.009
9/13/2006,7.8,0.03,48,0.012,2.7,0.009
9/14/2006,7.8,0.034,50.4,0.014,2.7,0.009
9/15/2006,7.8,0.034,50.4,0.014,2.7,0.009
9/18/2006,7.8,0.034,50.4,0.014,2.7,0.009
9/19/2006,7.8,0.034,50.4,0.015,2.7,0.011
9/20/2006,7.8,0.034,50.4,0.015,2.7,0.011
