Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
3/1/2024,ProShares Ultra S&P500,SSO,74.6773,73.4692,1.64436,1.2081,58650,4379823645
2/29/2024,ProShares Ultra S&P500,SSO,73.4692,72.7681,0.96347,0.7011,59000,4334682800
2/28/2024,ProShares Ultra S&P500,SSO,72.7681,73.0049,-0.32436,-0.2368,59000,4293317900
2/27/2024,ProShares Ultra S&P500,SSO,73.0049,72.7634,0.3319,0.2415,58900,4299988610
2/26/2024,ProShares Ultra S&P500,SSO,72.7634,73.3307,-0.77362,-0.5673,59100,4300316940
2/23/2024,ProShares Ultra S&P500,SSO,73.3307,73.277,0.07328,0.0537,61350,4498838445
2/22/2024,ProShares Ultra S&P500,SSO,73.277,70.3519,4.15781,2.9251,61550,4510199350
2/21/2024,ProShares Ultra S&P500,SSO,70.3519,70.1922,0.22752,0.1597,62350,4386440965
2/20/2024,ProShares Ultra S&P500,SSO,70.1922,71.046,-1.20176,-0.8538,62300,4372974060
2/16/2024,ProShares Ultra S&P500,SSO,71.046,71.7336,-0.95855,-0.6876,62150,4415508900
2/15/2024,ProShares Ultra S&P500,SSO,71.7336,70.9108,1.16033,0.8228,62700,4497696720
2/14/2024,ProShares Ultra S&P500,SSO,70.9108,69.5811,1.91101,1.3297,62300,4417742840
2/13/2024,ProShares Ultra S&P500,SSO,69.5811,71.5411,-2.73968,-1.96,62000,4314028200
2/12/2024,ProShares Ultra S&P500,SSO,71.5411,71.6773,-0.19002,-0.1362,61650,4410508815
2/9/2024,ProShares Ultra S&P500,SSO,71.6773,70.8653,1.14584,0.812,61800,4429657140
2/8/2024,ProShares Ultra S&P500,SSO,70.8653,70.8123,0.07485,0.053,62500,4429081250
2/7/2024,ProShares Ultra S&P500,SSO,70.8123,69.6729,1.63536,1.1394,62100,4397443830
2/6/2024,ProShares Ultra S&P500,SSO,69.6729,69.3458,0.47169,0.3271,62300,4340621670
2/5/2024,ProShares Ultra S&P500,SSO,69.3458,69.8179,-0.67619,-0.4721,63950,4434663910
2/2/2024,ProShares Ultra S&P500,SSO,69.8179,68.3661,2.12357,1.4518,66700,4656853930
2/1/2024,ProShares Ultra S&P500,SSO,68.3661,66.721,2.46564,1.6451,67600,4621548360
1/31/2024,ProShares Ultra S&P500,SSO,66.721,68.9576,-3.24344,-2.2366,66600,4443618600
1/30/2024,ProShares Ultra S&P500,SSO,68.9576,69.0509,-0.13512,-0.0933,66700,4599471920
1/29/2024,ProShares Ultra S&P500,SSO,69.0509,68.0249,1.50827,1.026,64250,4436520325
1/26/2024,ProShares Ultra S&P500,SSO,68.0249,68.1437,-0.17434,-0.1188,64500,4387606050
1/25/2024,ProShares Ultra S&P500,SSO,68.1437,67.4608,1.01229,0.6829,64950,4425933315
1/24/2024,ProShares Ultra S&P500,SSO,67.4608,67.3573,0.15366,0.1035,63500,4283760800
1/23/2024,ProShares Ultra S&P500,SSO,67.3573,66.9766,0.56841,0.3807,65850,4435478205
1/22/2024,ProShares Ultra S&P500,SSO,66.9766,66.6992,0.4159,0.2774,65100,4360176660
1/19/2024,ProShares Ultra S&P500,SSO,66.6992,65.0964,2.46219,1.6028,66000,4402147200
