Date;SSO;SSO_Volume;SDS;SDS_Volume;QLD;QLD_Volume;QID;QID_Volume;DDM;DDM_Volume;DXD;DXD_Volume;MVV;MVV_Volume;MZZ;MZZ_Volume;VIX Index
30/06/2006;9,1813;724800;;;2,2578;7584000;;;12,1667;232800;;;12,7567;684000;;;13,08
03/07/2006;9,3063;227200;;;2,2841;1190400;;;12,2667;165600;;;13,0117;386400;;;13,05
05/07/2006;9,1825;592000;;;2,1941;4950400;;;12,0983;292200;;;12,6;419400;;;14,15
06/07/2006;9,2113;932800;;;2,1813;2684800;;;12,2636;573600;;;12,6233;226200;;;13,65
07/07/2006;9,105;568800;;;2,1334;2294400;;;11,975;1228200;;;12,4533;64200;;;13,97
10/07/2006;9,1213;576000;;;2,0981;3993600;;;11,9867;621600;;;12,3633;103200;;;14,02
11/07/2006;9,1992;1540000;;;2,1325;5302400;;;12,05;1023600;;;12,4867;453600;;;13,14
12/07/2006;9,0175;1025600;;;2,0481;7299200;;;11,76;660000;;;12,1933;330600;;;14,49
13/07/2006;8,745;1390400;5878,4;473;1,9828;13372800;24041,6;371;11,395;1263000;5902,4;1255;11,7583;799200;;;17,79
14/07/2006;8,6663;1208800;5920;2684;1,9422;6928000;24624;778;11,1867;1164600;6006,4;1285;11,5167;912600;4750,08;544;18,05
17/07/2006;8,6575;455200;5964;3356;1,9516;4934400;24480;1006;11,2033;1005000;6012;1016;11,38;143400;4841,6;966;18,64
18/07/2006;8,671;1639200;5932;3625;1,9625;13027200;24320;1256;11,3083;858600;5952;1959;11,4217;231600;4883,2;684;17,74
19/07/2006;8,9688;1752000;5728;2310;2,005;8470400;23808;763;11,745;1113600;5723,2;2875;11,9983;636600;4894,72;1463;15,55
20/07/2006;8,8638;922400;5821,6;1835;1,9503;6009600;24528;1039;11,5917;439200;5812;1048;11,3833;447600;4670,72;1523;16,21
21/07/2006;8,7237;1027200;5897,6;2041;1,9063;9315200;24928;907;11,4483;521400;5892;1538;11,0767;847800;4864,64;933;17,4
24/07/2006;9;1067200;5720;2304;1,9766;7667200;23968;814;11,8117;1042200;5682,4;1425;11,5833;1029000;5028,48;2013;14,98
25/07/2006;9,1138;1371200;5649,6;2285;1,9959;10841600;23680;963;11,9417;1330200;5626,4;921;11,795;925200;4800,64;1838;14,85
26/07/2006;9,1313;1105600;5632;2193;2;11750400;23795,56;1018;11,9367;579600;5633,6;805;11,8367;497400;4686,72;2458;14,62
27/07/2006;9,0438;1432000;5709,6;2009;1,9797;6019200;24128;1182;11,9333;736800;5623,2;1518;11,6033;576600;4695,04;1977;14,94
28/07/2006;9,25;903200;5581,6;2175;2,0588;3376000;23152;1219;12,1733;593400;5545,6;770;11,9467;249600;4777,6;1584;14,33
31/07/2006;9,225;454400;5585,6;1393;2,0547;4979200;23072;454;12,1083;281400;5556;565;12,0117;190200;4636,16;1097;14,95
01/08/2006;9,1425;418400;5640,8;1874;1,9844;7804800;23904;1031;11,9767;276600;5624;988;11,8383;219600;4628,48;1169;15,05
02/08/2006;9,2125;586400;5575,2;1730;2,0209;6969600;23424;1174;12,115;451800;5560;813;11,9383;287400;4708,48;1602;14,34
03/08/2006;9,2587;720800;5558,4;2130;2,0547;9980800;23119,96;1524;12,2167;522000;5512;999;12,125;523800;4649,6;855;14,46
04/08/2006;9,2563;1376800;5566,4;2791;2,0359;9408000;23296;1744;12,2317;897600;5520;1408;12,015;541800;4584,96;1197;14,34
07/08/2006;9,205;392800;5600,79;1490;2,0113;8508800;23584;1135;12,1783;69600;5536;690;11,84;247800;4611,2;1323;15,23
08/08/2006;9,13;461600;5650,4;2966;1,9859;14467200;23974,4;1442;12,065;916200;5595,2;2105;11,6283;379200;4683,52;1050;15,23
09/08/2006;9,06;557600;5708,8;3601;1,985;14412800;23955,2;2446;11,8633;488400;5684;2123;11,4633;399600;4773,12;1377;15,2
