Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/01/2024,ProShares Ultra Dow30,DDM,84.587,84.173,0.49184,0.414,4850,410246950
02/29/2024,ProShares Ultra Dow30,DDM,84.173,83.9571,0.25716,0.2159,4900,412447700
02/28/2024,ProShares Ultra Dow30,DDM,83.9571,83.9825,-0.03024,-0.0254,4850,407191935
02/27/2024,ProShares Ultra Dow30,DDM,83.9825,84.4222,-0.52083,-0.4397,4850,407315125
02/26/2024,ProShares Ultra Dow30,DDM,84.4222,84.7109,-0.34081,-0.2887,4850,409447670
02/23/2024,ProShares Ultra Dow30,DDM,84.7109,84.4494,0.30965,0.2615,4850,410847865
02/22/2024,ProShares Ultra Dow30,DDM,84.4494,82.5449,2.30723,1.9045,4850,409579590
02/21/2024,ProShares Ultra Dow30,DDM,82.5449,82.3635,0.22024,0.1814,4900,404470010
02/20/2024,ProShares Ultra Dow30,DDM,82.3635,82.6444,-0.33989,-0.2809,4900,403581150
02/16/2024,ProShares Ultra Dow30,DDM,82.6444,83.2539,-0.73210,-0.6095,4900,404957560
02/15/2024,ProShares Ultra Dow30,DDM,83.2539,81.6739,1.93452,1.58,4950,412106805
02/14/2024,ProShares Ultra Dow30,DDM,81.6739,81.0308,0.79365,0.6431,4950,404285805
02/13/2024,ProShares Ultra Dow30,DDM,81.0308,83.3078,-2.73324,-2.277,5000,405154000
02/12/2024,ProShares Ultra Dow30,DDM,83.3078,82.7742,0.64465,0.5336,5000,416539000
02/09/2024,ProShares Ultra Dow30,DDM,82.7742,83.0288,-0.30664,-0.2546,5000,413871000
02/08/2024,ProShares Ultra Dow30,DDM,83.0288,82.8014,0.27463,0.2274,5000,415144000
02/07/2024,ProShares Ultra Dow30,DDM,82.8014,82.1478,0.79564,0.6536,5000,414007000
02/06/2024,ProShares Ultra Dow30,DDM,82.1478,81.5509,0.73194,0.5969,5000,410739000
02/05/2024,ProShares Ultra Dow30,DDM,81.5509,82.7526,-1.45216,-1.2017,5000,407754500
02/02/2024,ProShares Ultra Dow30,DDM,82.7526,82.1947,0.67875,0.5579,5000,413763000
02/01/2024,ProShares Ultra Dow30,DDM,82.1947,80.6808,1.87641,1.5139,5050,415083235
01/31/2024,ProShares Ultra Dow30,DDM,80.6808,82.0474,-1.66562,-1.3666,5050,407438040
01/30/2024,ProShares Ultra Dow30,DDM,82.0474,81.5102,0.65906,0.5372,4950,406134630
01/29/2024,ProShares Ultra Dow30,DDM,81.5102,80.5774,1.15764,0.9328,4950,403475490
01/26/2024,ProShares Ultra Dow30,DDM,80.5774,80.3397,0.29587,0.2377,4950,398858130
01/25/2024,ProShares Ultra Dow30,DDM,80.3397,79.3722,1.21894,0.9675,4950,397681515
01/24/2024,ProShares Ultra Dow30,DDM,79.3722,79.8028,-0.53958,-0.4306,4950,392892390
01/23/2024,ProShares Ultra Dow30,DDM,79.8028,80.2341,-0.53755,-0.4313,4950,395023860
01/22/2024,ProShares Ultra Dow30,DDM,80.2341,79.6594,0.72145,0.5747,4950,397158795
01/19/2024,ProShares Ultra Dow30,DDM,79.6594,78.0001,2.12730,1.6593,4950,394314030
01/18/2024,ProShares Ultra Dow30,DDM,78.0001,77.1816,1.06049,0.8185,4950,386100495
01/17/2024,ProShares Ultra Dow30,DDM,77.1816,77.588,-0.52379,-0.4064,4950,382048920
01/16/2024,ProShares Ultra Dow30,DDM,77.588,78.5681,-1.24745,-0.9801,5000,387940000
01/12/2024,ProShares Ultra Dow30,DDM,78.5681,79.087,-0.65611,-0.5189,5050,396768905
01/11/2024,ProShares Ultra Dow30,DDM,79.087,79.0811,0.00746,0.0059,5050,399389350
01/10/2024,ProShares Ultra Dow30,DDM,79.0811,78.3783,0.89668,0.7028,5050,399359555
01/09/2024,ProShares Ultra Dow30,DDM,78.3783,79.0483,-0.84758,-0.67,5100,399729330
01/08/2024,ProShares Ultra Dow30,DDM,79.0483,78.1558,1.14195,0.8925,5100,403146330
01/05/2024,ProShares Ultra Dow30,DDM,78.1558,78.0778,0.09990,0.078,5100,398594580
01/04/2024,ProShares Ultra Dow30,DDM,78.0778,78.0257,0.06677,0.0521,5100,398196780
01/03/2024,ProShares Ultra Dow30,DDM,78.0257,79.2326,-1.52324,-1.2069,5100,397931070
01/02/2024,ProShares Ultra Dow30,DDM,79.2326,79.1548,0.09829,0.0778,5050,400124630
12/29/2023,ProShares Ultra Dow30,DDM,79.1548,79.2493,-0.11924,-0.0945,5050,399731740
12/28/2023,ProShares Ultra Dow30,DDM,79.2493,79.0932,0.19736,0.1561,5050,400208965
12/27/2023,ProShares Ultra Dow30,DDM,79.0932,78.6352,0.58244,0.458,5050,399420660
12/26/2023,ProShares Ultra Dow30,DDM,78.6352,77.9898,0.82754,0.6454,5050,397107760
12/22/2023,ProShares Ultra Dow30,DDM,77.9898,78.0733,-0.10695,-0.0835,5050,393848490
12/21/2023,ProShares Ultra Dow30,DDM,78.0733,76.8076,1.64788,1.2657,5050,394270165
12/20/2023,ProShares Ultra Dow30,DDM,76.8076,79.033,-2.81579,-2.2254,5050,387878380
12/19/2023,ProShares Ultra Dow30,DDM,79.033,77.9949,1.33098,1.0381,5050,399116650
12/18/2023,ProShares Ultra Dow30,DDM,77.9949,77.9807,0.01821,0.0142,5050,393874245
12/15/2023,ProShares Ultra Dow30,DDM,77.9807,77.7919,0.24270,0.1888,5100,397701570
12/14/2023,ProShares Ultra Dow30,DDM,77.7919,77.1624,0.81581,0.6295,5000,388959500
12/13/2023,ProShares Ultra Dow30,DDM,77.1624,75.0622,2.79795,2.1002,5000,385812000
12/12/2023,ProShares Ultra Dow30,DDM,75.0622,74.3715,0.92872,0.6907,5000,375311000
12/11/2023,ProShares Ultra Dow30,DDM,74.3715,73.7465,0.84750,0.625,5000,371857500
12/08/2023,ProShares Ultra Dow30,DDM,73.7465,73.2272,0.70916,0.5193,5000,368732500
12/07/2023,ProShares Ultra Dow30,DDM,73.2272,72.9817,0.33639,0.2455,5000,366136000
12/06/2023,ProShares Ultra Dow30,DDM,72.9817,73.2794,-0.40625,-0.2977,5000,364908500
12/05/2023,ProShares Ultra Dow30,DDM,73.2794,73.614,-0.45453,-0.3346,5000,366397000
12/04/2023,ProShares Ultra Dow30,DDM,73.614,73.7948,-0.24500,-0.1808,5000,368070000
12/01/2023,ProShares Ultra Dow30,DDM,73.7948,72.5652,1.69448,1.2296,5000,368974000
11/30/2023,ProShares Ultra Dow30,DDM,72.5652,70.4803,2.95813,2.0849,5000,362826000
11/29/2023,ProShares Ultra Dow30,DDM,70.4803,70.294,0.26503,0.1863,5000,352401500
11/28/2023,ProShares Ultra Dow30,DDM,70.294,69.9807,0.44769,0.3133,5000,351470000
11/27/2023,ProShares Ultra Dow30,DDM,69.9807,70.2142,-0.33255,-0.2335,5000,349903500
11/24/2023,ProShares Ultra Dow30,DDM,70.2142,69.7609,0.64979,0.4533,5000,351071000
11/22/2023,ProShares Ultra Dow30,DDM,69.7609,69.0808,0.98450,0.6801,5000,348804500
11/21/2023,ProShares Ultra Dow30,DDM,69.0808,69.3607,-0.40354,-0.2799,5000,345404000
11/20/2023,ProShares Ultra Dow30,DDM,69.3607,68.5452,1.18973,0.8155,5000,346803500
11/17/2023,ProShares Ultra Dow30,DDM,68.5452,68.5468,-0.00233,-0.0016,5000,342726000
11/16/2023,ProShares Ultra Dow30,DDM,68.5468,68.6421,-0.13884,-0.0953,5050,346161340
11/15/2023,ProShares Ultra Dow30,DDM,68.6421,67.9896,0.95971,0.6525,5050,346642605
11/14/2023,ProShares Ultra Dow30,DDM,67.9896,66.1163,2.83334,1.8733,5050,343347480
11/13/2023,ProShares Ultra Dow30,DDM,66.1163,65.9098,0.31331,0.2065,5000,330581500
11/10/2023,ProShares Ultra Dow30,DDM,65.9098,64.4303,2.29628,1.4795,5000,329549000
11/09/2023,ProShares Ultra Dow30,DDM,64.4303,65.2441,-1.24732,-0.8138,5100,328594530
11/08/2023,ProShares Ultra Dow30,DDM,65.2441,65.4001,-0.23853,-0.156,5050,329482705
11/07/2023,ProShares Ultra Dow30,DDM,65.4001,65.1996,0.30752,0.2005,5000,327000500
11/06/2023,ProShares Ultra Dow30,DDM,65.1996,65.0755,0.19070,0.1241,5000,325998000
11/03/2023,ProShares Ultra Dow30,DDM,65.0755,64.2444,1.29365,0.8311,5000,325377500
11/02/2023,ProShares Ultra Dow30,DDM,64.2444,62.1684,3.33932,2.076,5000,321222000
11/01/2023,ProShares Ultra Dow30,DDM,62.1684,61.3589,1.31929,0.8095,5000,310842000
10/31/2023,ProShares Ultra Dow30,DDM,61.3589,60.9135,0.73120,0.4454,5000,306794500
10/30/2023,ProShares Ultra Dow30,DDM,60.9135,59.0654,3.12890,1.8481,5000,304567500
10/27/2023,ProShares Ultra Dow30,DDM,59.0654,60.428,-2.25491,-1.3626,5000,295327000
10/26/2023,ProShares Ultra Dow30,DDM,60.428,61.4029,-1.58771,-0.9749,5000,302140000
10/25/2023,ProShares Ultra Dow30,DDM,61.4029,61.8124,-0.66249,-0.4095,5000,307014500
10/24/2023,ProShares Ultra Dow30,DDM,61.8124,61.0618,1.22925,0.7506,5050,312152620
10/23/2023,ProShares Ultra Dow30,DDM,61.0618,61.7845,-1.16971,-0.7227,5050,308362090
10/20/2023,ProShares Ultra Dow30,DDM,61.7845,62.8435,-1.68514,-1.059,5050,312011725
10/19/2023,ProShares Ultra Dow30,DDM,62.8435,63.8128,-1.51897,-0.9693,5050,317359675
10/18/2023,ProShares Ultra Dow30,DDM,63.8128,65.1011,-1.97892,-1.2883,5050,322254640
10/17/2023,ProShares Ultra Dow30,DDM,65.1011,65.0655,0.05471,0.0356,5050,328760555
10/16/2023,ProShares Ultra Dow30,DDM,65.0655,63.8841,1.84929,1.1814,5050,328580775
10/13/2023,ProShares Ultra Dow30,DDM,63.8841,63.7486,0.21255,0.1355,5050,322614705
10/12/2023,ProShares Ultra Dow30,DDM,63.7486,64.4525,-1.09212,-0.7039,5050,321930430
10/11/2023,ProShares Ultra Dow30,DDM,64.4525,64.2204,0.36141,0.2321,5050,325485125
10/10/2023,ProShares Ultra Dow30,DDM,64.2204,63.7217,0.78262,0.4987,5050,324313020
10/09/2023,ProShares Ultra Dow30,DDM,63.7217,62.9779,1.18105,0.7438,5050,321794585
10/06/2023,ProShares Ultra Dow30,DDM,62.9779,61.8961,1.74777,1.0818,5050,318038395
10/05/2023,ProShares Ultra Dow30,DDM,61.8961,61.936,-0.06442,-0.0399,5100,315670110
10/04/2023,ProShares Ultra Dow30,DDM,61.936,61.4869,0.73040,0.4491,5100,315873600
10/03/2023,ProShares Ultra Dow30,DDM,61.4869,63.11,-2.57186,-1.6231,5100,313583190
10/02/2023,ProShares Ultra Dow30,DDM,63.11,63.4116,-0.47562,-0.3016,5100,321861000
09/29/2023,ProShares Ultra Dow30,DDM,63.4116,64.0334,-0.97106,-0.6218,5050,320228580
09/28/2023,ProShares Ultra Dow30,DDM,64.0334,63.631,0.63240,0.4024,5050,323368670
09/27/2023,ProShares Ultra Dow30,DDM,63.631,63.9029,-0.42549,-0.2719,5150,327699650
09/26/2023,ProShares Ultra Dow30,DDM,63.9029,65.4123,-2.30752,-1.5094,5150,329099935
09/25/2023,ProShares Ultra Dow30,DDM,65.4123,65.2653,0.22523,0.147,5150,336873345
09/22/2023,ProShares Ultra Dow30,DDM,65.2653,65.6861,-0.64062,-0.4208,5200,339379560
09/21/2023,ProShares Ultra Dow30,DDM,65.6861,67.1737,-2.21456,-1.4876,5200,341567720
09/20/2023,ProShares Ultra Dow30,DDM,67.1737,67.4875,-0.46497,-0.3138,5200,349303240
09/19/2023,ProShares Ultra Dow30,DDM,67.4875,67.9206,-0.63766,-0.4331,5200,350935000
09/18/2023,ProShares Ultra Dow30,DDM,67.9206,67.9154,0.00766,0.0052,5200,353187120
09/15/2023,ProShares Ultra Dow30,DDM,67.9154,69.0761,-1.68032,-1.1607,5200,353160080
09/14/2023,ProShares Ultra Dow30,DDM,69.0761,67.7843,1.90575,1.2918,5200,359195720
09/13/2023,ProShares Ultra Dow30,DDM,67.7843,68.0736,-0.42498,-0.2893,5200,352478360
09/12/2023,ProShares Ultra Dow30,DDM,68.0736,68.156,-0.12090,-0.0824,5150,350579040
09/11/2023,ProShares Ultra Dow30,DDM,68.156,67.8306,0.47972,0.3254,5150,351003400
09/08/2023,ProShares Ultra Dow30,DDM,67.8306,67.5014,0.48769,0.3292,5150,349327590
09/07/2023,ProShares Ultra Dow30,DDM,67.5014,67.2884,0.31655,0.213,5150,347632210
09/06/2023,ProShares Ultra Dow30,DDM,67.2884,68.0818,-1.16536,-0.7934,5150,346535260
09/05/2023,ProShares Ultra Dow30,DDM,68.0818,68.8742,-1.15050,-0.7924,5150,350621270
09/01/2023,ProShares Ultra Dow30,DDM,68.8742,68.4247,0.65693,0.4495,5150,354702130
08/31/2023,ProShares Ultra Dow30,DDM,68.4247,69.1031,-0.98172,-0.6784,5150,352387205
08/30/2023,ProShares Ultra Dow30,DDM,69.1031,68.823,0.40699,0.2801,5150,355880965
08/29/2023,ProShares Ultra Dow30,DDM,68.823,67.6903,1.67336,1.1327,5150,354438450
08/28/2023,ProShares Ultra Dow30,DDM,67.6903,66.8721,1.22353,0.8182,5150,348605045
08/25/2023,ProShares Ultra Dow30,DDM,66.8721,65.9038,1.46926,0.9683,5150,344391315
08/24/2023,ProShares Ultra Dow30,DDM,65.9038,67.4045,-2.22641,-1.5007,5150,339404570
08/23/2023,ProShares Ultra Dow30,DDM,67.4045,66.6956,1.06289,0.7089,5300,357243850
08/22/2023,ProShares Ultra Dow30,DDM,66.6956,67.3918,-1.03306,-0.6962,5350,356821460
08/21/2023,ProShares Ultra Dow30,DDM,67.3918,67.5551,-0.24173,-0.1633,5350,360546130
08/18/2023,ProShares Ultra Dow30,DDM,67.5551,67.4108,0.21406,0.1443,5400,364797540
08/17/2023,ProShares Ultra Dow30,DDM,67.4108,68.5037,-1.59539,-1.0929,5250,353906700
08/16/2023,ProShares Ultra Dow30,DDM,68.5037,69.2195,-1.03410,-0.7158,5250,359644425
08/15/2023,ProShares Ultra Dow30,DDM,69.2195,70.6787,-2.06455,-1.4592,5250,363402375
08/14/2023,ProShares Ultra Dow30,DDM,70.6787,70.5924,0.12225,0.0863,5300,374597110
