Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/01/2024,ProShares UltraShort Dow30,DXD,31.9529,32.092,-0.43344,-0.1391,2559.79,81792586.0794
02/29/2024,ProShares UltraShort Dow30,DXD,32.092,32.1716,-0.24742,-0.0796,2409.79,77334852.312
02/28/2024,ProShares UltraShort Dow30,DXD,32.1716,32.1578,0.04291,0.0138,2409.79,77526671.2776
02/27/2024,ProShares UltraShort Dow30,DXD,32.1578,31.9874,0.53271,0.1704,2409.79,77493416.2308
02/26/2024,ProShares UltraShort Dow30,DXD,31.9874,31.8694,0.37026,0.118,2409.79,77082788.6964
02/23/2024,ProShares UltraShort Dow30,DXD,31.8694,31.957,-0.27412,-0.0876,2409.79,76798433.9484
02/22/2024,ProShares UltraShort Dow30,DXD,31.957,32.7016,-2.27695,-0.7446,2409.79,77009531.202
02/21/2024,ProShares UltraShort Dow30,DXD,32.7016,32.7712,-0.21238,-0.0696,2409.79,78803857.8576
02/20/2024,ProShares UltraShort Dow30,DXD,32.7712,32.645,0.38658,0.1262,2509.79,82248698.9632
02/16/2024,ProShares UltraShort Dow30,DXD,32.645,32.4006,0.75431,0.2444,2459.79,80299713.97
02/15/2024,ProShares UltraShort Dow30,DXD,32.4006,33.0231,-1.88504,-0.6225,2459.79,79698542.2716
02/14/2024,ProShares UltraShort Dow30,DXD,33.0231,33.2837,-0.78297,-0.2606,2459.79,81229759.0566
02/13/2024,ProShares UltraShort Dow30,DXD,33.2837,32.3942,2.74586,0.8895,2409.79,80206594.2882
02/12/2024,ProShares UltraShort Dow30,DXD,32.3942,32.5913,-0.60476,-0.1971,2409.79,78063089.6412
02/09/2024,ProShares UltraShort Dow30,DXD,32.5913,32.4857,0.32507,0.1056,2409.79,78538058.4618
02/08/2024,ProShares UltraShort Dow30,DXD,32.4857,32.564,-0.24045,-0.0783,2359.79,76659300.0602
02/07/2024,ProShares UltraShort Dow30,DXD,32.564,32.8183,-0.77487,-0.2543,2359.79,76844071.304
02/06/2024,ProShares UltraShort Dow30,DXD,32.8183,33.0514,-0.70527,-0.2331,2459.79,80725994.8838
02/05/2024,ProShares UltraShort Dow30,DXD,33.0514,32.5714,1.47369,0.48,2459.79,81299371.0004
02/02/2024,ProShares UltraShort Dow30,DXD,32.5714,32.7863,-0.65546,-0.2149,2459.79,80118673.7204
02/01/2024,ProShares UltraShort Dow30,DXD,32.7863,33.4028,-1.84565,-0.6165,2459.79,80647281.7318
01/31/2024,ProShares UltraShort Dow30,DXD,33.4028,32.849,1.68590,0.5538,2459.79,82163739.8008
01/30/2024,ProShares UltraShort Dow30,DXD,32.849,33.0678,-0.66167,-0.2188,2459.79,80801510.314
01/29/2024,ProShares UltraShort Dow30,DXD,33.0678,33.4459,-1.13048,-0.3781,2459.79,81339711.4908
01/26/2024,ProShares UltraShort Dow30,DXD,33.4459,33.536,-0.26867,-0.0901,2409.79,80597461.5774
01/25/2024,ProShares UltraShort Dow30,DXD,33.536,33.9417,-1.19528,-0.4057,2359.79,79137783.296
01/24/2024,ProShares UltraShort Dow30,DXD,33.9417,33.7524,0.56085,0.1893,2359.79,80095148.4762
01/23/2024,ProShares UltraShort Dow30,DXD,33.7524,33.5702,0.54274,0.1822,2359.79,79648440.9864
01/22/2024,ProShares UltraShort Dow30,DXD,33.5702,33.8034,-0.68987,-0.2332,2359.79,79218487.9772
01/19/2024,ProShares UltraShort Dow30,DXD,33.8034,34.5303,-2.10511,-0.7269,2459.79,83149130.0724
01/18/2024,ProShares UltraShort Dow30,DXD,34.5303,34.8895,-1.02954,-0.3592,2309.79,79757603.5158
01/17/2024,ProShares UltraShort Dow30,DXD,34.8895,34.7017,0.54118,0.1878,2259.79,78842803.647
01/16/2024,ProShares UltraShort Dow30,DXD,34.7017,34.2546,1.30523,0.4471,2409.79,83623670.8362
01/12/2024,ProShares UltraShort Dow30,DXD,34.2546,34.0281,0.66563,0.2265,2409.79,82546255.5156
01/11/2024,ProShares UltraShort Dow30,DXD,34.0281,34.0157,0.03645,0.0124,2409.79,82000438.9866
01/10/2024,ProShares UltraShort Dow30,DXD,34.0157,34.3156,-0.87395,-0.2999,2409.79,81970557.6402
01/09/2024,ProShares UltraShort Dow30,DXD,34.3156,34.0251,0.85378,0.2905,2459.79,84409032.4616
01/08/2024,ProShares UltraShort Dow30,DXD,34.0251,34.4036,-1.10018,-0.3785,2459.79,83694464.6286
