Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/01/2024,ProShares UltraShort QQQ,QID,9.0221,9.2812,-2.79166,-0.2591,29195.77,263407192.6054
02/29/2024,ProShares UltraShort QQQ,QID,9.2812,9.4585,-1.87450,-0.1773,29045.77,269579637.6488
02/28/2024,ProShares UltraShort QQQ,QID,9.4585,9.3559,1.09663,0.1026,28545.77,270000203.379
02/27/2024,ProShares UltraShort QQQ,QID,9.3559,9.3918,-0.38225,-0.0359,29295.77,274088331.9666
02/26/2024,ProShares UltraShort QQQ,QID,9.3918,9.3839,0.08419,0.0079,28745.77,269974560.2532
02/23/2024,ProShares UltraShort QQQ,QID,9.3839,9.3075,0.82084,0.0764,28745.77,269747468.6386
02/22/2024,ProShares UltraShort QQQ,QID,9.3075,9.8972,-5.95825,-0.5897,28745.77,267551291.505
02/21/2024,ProShares UltraShort QQQ,QID,9.8972,9.82,0.78615,0.0772,27195.77,269162014.4328
02/20/2024,ProShares UltraShort QQQ,QID,9.82,9.6637,1.61739,0.1563,29045.77,285229500.68
02/16/2024,ProShares UltraShort QQQ,QID,9.6637,9.4847,1.88725,0.179,29045.77,280689646.2038
02/15/2024,ProShares UltraShort QQQ,QID,9.4847,9.5191,-0.36138,-0.0344,29745.77,282129742.6578
02/14/2024,ProShares UltraShort QQQ,QID,9.5191,9.7484,-2.35218,-0.2293,29395.77,279821312.2834
02/13/2024,ProShares UltraShort QQQ,QID,9.7484,9.4469,3.19152,0.3015,30595.77,298259843.2616
02/12/2024,ProShares UltraShort QQQ,QID,9.4469,9.3613,0.91440,0.0856,30695.77,289979907.4006
02/09/2024,ProShares UltraShort QQQ,QID,9.3613,9.5481,-1.95641,-0.1868,30045.77,281267504.1462
02/08/2024,ProShares UltraShort QQQ,QID,9.5481,9.5739,-0.26948,-0.0258,30845.77,294518534.7294
02/07/2024,ProShares UltraShort QQQ,QID,9.5739,9.773,-2.03725,-0.1991,30095.77,288133930.6986
02/06/2024,ProShares UltraShort QQQ,QID,9.773,9.7258,0.48531,0.0472,30195.77,295103299.302
02/05/2024,ProShares UltraShort QQQ,QID,9.7258,9.6902,0.36738,0.0356,30345.77,295136928.7692
02/02/2024,ProShares UltraShort QQQ,QID,9.6902,10.0277,-3.36568,-0.3375,30695.77,297448189.2148
02/01/2024,ProShares UltraShort QQQ,QID,10.0277,10.2693,-2.35264,-0.2416,33745.77,338392497.9398
01/31/2024,ProShares UltraShort QQQ,QID,10.2693,9.8821,3.91820,0.3872,26295.77,270039191.9382
01/30/2024,ProShares UltraShort QQQ,QID,9.8821,9.7482,1.37359,0.1339,28745.77,284068613.2454
01/29/2024,ProShares UltraShort QQQ,QID,9.7482,9.9445,-1.97396,-0.1963,29645.77,288992934.1068
01/26/2024,ProShares UltraShort QQQ,QID,9.9445,9.8296,1.16892,0.1149,29795.77,296304074.543
01/25/2024,ProShares UltraShort QQQ,QID,9.8296,9.8426,-0.13208,-0.013,33695.77,331215980.1104
01/24/2024,ProShares UltraShort QQQ,QID,9.8426,9.9475,-1.05454,-0.1049,27645.77,272106295.1724
01/23/2024,ProShares UltraShort QQQ,QID,9.9475,10.0296,-0.81858,-0.0821,28395.77,282466961.865
01/22/2024,ProShares UltraShort QQQ,QID,10.0296,10.0453,-0.15629,-0.0157,26895.77,269753854.9104
01/19/2024,ProShares UltraShort QQQ,QID,10.0453,10.4456,-3.83224,-0.4003,28145.77,282732743.5622
01/18/2024,ProShares UltraShort QQQ,QID,10.4456,10.7541,-2.86867,-0.3085,32895.77,343616096.8944
01/17/2024,ProShares UltraShort QQQ,QID,10.7541,10.631,1.15793,0.1231,28145.77,302682468.1734
01/16/2024,ProShares UltraShort QQQ,QID,10.631,10.6247,0.05930,0.0063,26195.77,278487273.394
01/12/2024,ProShares UltraShort QQQ,QID,10.6247,10.6296,-0.04610,-0.0049,26245.77,278853475.0178
01/11/2024,ProShares UltraShort QQQ,QID,10.6296,10.6553,-0.24119,-0.0257,30645.77,325752319.3104
01/10/2024,ProShares UltraShort QQQ,QID,10.6553,10.7991,-1.33159,-0.1438,27495.77,292975720.7022
01/09/2024,ProShares UltraShort QQQ,QID,10.7991,10.8328,-0.31109,-0.0337,29895.77,322847453.0034
01/08/2024,ProShares UltraShort QQQ,QID,10.8328,11.3054,-4.18030,-0.4726,29745.77,322230020.5872
01/05/2024,ProShares UltraShort QQQ,QID,11.3054,11.3315,-0.23033,-0.0261,28095.77,317633963.3796
01/04/2024,ProShares UltraShort QQQ,QID,11.3315,11.2051,1.12806,0.1264,36195.77,410152413.081
01/03/2024,ProShares UltraShort QQQ,QID,11.2051,10.9708,2.13567,0.2343,29195.77,327141567.2474
01/02/2024,ProShares UltraShort QQQ,QID,10.9708,10.6132,3.36939,0.3576,31345.77,343888217.3992
12/29/2023,ProShares UltraShort QQQ,QID,10.6132,10.5142,0.94158,0.099,32345.77,343292168.6168
12/28/2023,ProShares UltraShort QQQ,QID,10.5142,10.4946,0.18676,0.0196,38145.77,401072296.9908
12/27/2023,ProShares UltraShort QQQ,QID,10.4946,10.5268,-0.30589,-0.0322,29295.77,307447429.8204
12/26/2023,ProShares UltraShort QQQ,QID,10.5268,10.6516,-1.17165,-0.1248,31645.77,333128733.7432
12/22/2023,ProShares UltraShort QQQ,QID,10.6516,10.6682,-0.15560,-0.0166,31945.77,340273606.3384
12/21/2023,ProShares UltraShort QQQ,QID,10.6682,10.925,-2.35057,-0.2568,39245.77,418681766.1868
12/20/2023,ProShares UltraShort QQQ,QID,10.925,10.8016,1.14242,0.1234,31745.77,346822580.95
12/19/2023,ProShares UltraShort QQQ,QID,10.8016,10.9086,-0.98088,-0.107,34445.77,372069472.4384
12/18/2023,ProShares UltraShort QQQ,QID,10.9086,11.0456,-1.24031,-0.137,34495.77,376300600.2564
12/15/2023,ProShares UltraShort QQQ,QID,11.0456,11.154,-0.97185,-0.1084,34995.77,386549321.2944
12/14/2023,ProShares UltraShort QQQ,QID,11.154,11.1137,0.36262,0.0403,41695.77,465074663.196
12/13/2023,ProShares UltraShort QQQ,QID,11.1137,11.3991,-2.50371,-0.2854,33995.77,377818833.5038
12/12/2023,ProShares UltraShort QQQ,QID,11.3991,11.5847,-1.60211,-0.1856,34095.77,388661137.4034
12/11/2023,ProShares UltraShort QQQ,QID,11.5847,11.7805,-1.66207,-0.1958,34095.77,394989313.0578
12/08/2023,ProShares UltraShort QQQ,QID,11.7805,11.8652,-0.71385,-0.0847,33895.77,399309165.607
12/07/2023,ProShares UltraShort QQQ,QID,11.8652,12.2184,-2.89072,-0.3532,39195.77,465065697.6648
12/06/2023,ProShares UltraShort QQQ,QID,12.2184,12.0771,1.16998,0.1413,34445.77,420872245.0416
12/05/2023,ProShares UltraShort QQQ,QID,12.0771,12.1308,-0.44267,-0.0537,34545.77,417212767.1754
12/04/2023,ProShares UltraShort QQQ,QID,12.1308,11.8926,2.00293,0.2382,34145.77,414215555.2392
12/01/2023,ProShares UltraShort QQQ,QID,11.8926,11.9599,-0.56271,-0.0673,33295.77,395973321.8724
11/30/2023,ProShares UltraShort QQQ,QID,11.9599,11.897,0.52870,0.0629,39795.77,475953477.4626
11/29/2023,ProShares UltraShort QQQ,QID,11.897,11.86,0.31197,0.037,31895.77,379464023.278
11/28/2023,ProShares UltraShort QQQ,QID,11.86,11.9272,-0.56342,-0.0672,32045.77,380062879.64
11/27/2023,ProShares UltraShort QQQ,QID,11.9272,11.8936,0.28250,0.0336,31595.77,376849115.6528
11/24/2023,ProShares UltraShort QQQ,QID,11.8936,11.8575,0.30445,0.0361,31195.77,371030057.6464
11/22/2023,ProShares UltraShort QQQ,QID,11.8575,11.9474,-0.75246,-0.0899,39295.77,465949640.205
11/21/2023,ProShares UltraShort QQQ,QID,11.9474,11.8033,1.22085,0.1441,32895.77,393018970.2876
11/20/2023,ProShares UltraShort QQQ,QID,11.8033,12.088,-2.35523,-0.2847,34095.77,402442649.2542
11/17/2023,ProShares UltraShort QQQ,QID,12.088,12.0873,0.00579,0.0007,34295.77,414567316.112
11/16/2023,ProShares UltraShort QQQ,QID,12.0873,12.1038,-0.13632,-0.0165,39245.77,474375444.0702
11/15/2023,ProShares UltraShort QQQ,QID,12.1038,12.1127,-0.07348,-0.0089,31995.77,387270449.3412
11/14/2023,ProShares UltraShort QQQ,QID,12.1127,12.648,-4.23229,-0.5353,31445.77,380893226.7298
11/13/2023,ProShares UltraShort QQQ,QID,12.648,12.57,0.62053,0.078,30945.77,391402149.552
11/10/2023,ProShares UltraShort QQQ,QID,12.57,13.1573,-4.46368,-0.5873,30295.77,380817879.18
11/09/2023,ProShares UltraShort QQQ,QID,13.1573,12.9385,1.69108,0.2188,36995.77,486764497.2502
11/08/2023,ProShares UltraShort QQQ,QID,12.9385,12.9622,-0.18284,-0.0237,29745.77,384865696.899
11/07/2023,ProShares UltraShort QQQ,QID,12.9622,13.2036,-1.82829,-0.2414,29545.77,382978231.7428
11/06/2023,ProShares UltraShort QQQ,QID,13.2036,13.2972,-0.70391,-0.0936,28445.77,375586621.5864
11/03/2023,ProShares UltraShort QQQ,QID,13.2972,13.6166,-2.34567,-0.3194,28895.77,384232886.0328
11/02/2023,ProShares UltraShort QQQ,QID,13.6166,14.0957,-3.39891,-0.4791,33045.77,449971086.2484
11/01/2023,ProShares UltraShort QQQ,QID,14.0957,14.6072,-3.50170,-0.5115,31445.77,443250196.5718
10/31/2023,ProShares UltraShort QQQ,QID,14.6072,14.7548,-1.00035,-0.1476,32445.77,473941909.9728
10/30/2023,ProShares UltraShort QQQ,QID,14.7548,15.0833,-2.17791,-0.3285,32145.77,474304466.2152
10/27/2023,ProShares UltraShort QQQ,QID,15.0833,15.2278,-0.94892,-0.1445,30245.77,456206082.9742
10/26/2023,ProShares UltraShort QQQ,QID,15.2278,14.6604,3.87029,0.5674,42545.77,647878537.3172
10/25/2023,ProShares UltraShort QQQ,QID,14.6604,13.9657,4.97433,0.6947,30695.77,450012325.1496
10/24/2023,ProShares UltraShort QQQ,QID,13.9657,14.2348,-1.89044,-0.2691,31195.77,435670820.9518
10/23/2023,ProShares UltraShort QQQ,QID,14.2348,14.3166,-0.57136,-0.0818,31195.77,444065603.7352
