Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/01/2024,ProShares Ultra QQQ,QLD,88.6284,86.1453,2.88246,2.4831,71600,6345793440
02/29/2024,ProShares Ultra QQQ,QLD,86.1453,84.5853,1.84429,1.56,71600,6168003480
02/28/2024,ProShares Ultra QQQ,QLD,84.5853,85.5098,-1.08116,-0.9245,71550,6052078215
02/27/2024,ProShares Ultra QQQ,QLD,85.5098,85.1563,0.41512,0.3535,71350,6101124230
02/26/2024,ProShares Ultra QQQ,QLD,85.1563,85.2299,-0.08635,-0.0736,71500,6088675450
02/23/2024,ProShares Ultra QQQ,QLD,85.2299,85.8557,-0.72890,-0.6258,71550,6098199345
02/22/2024,ProShares Ultra QQQ,QLD,85.8557,81.0445,5.93649,4.8112,71800,6164439260
02/21/2024,ProShares Ultra QQQ,QLD,81.0445,81.6806,-0.77877,-0.6361,72050,5839256225
02/20/2024,ProShares Ultra QQQ,QLD,81.6806,83.0024,-1.59248,-1.3218,71900,5872835140
02/16/2024,ProShares Ultra QQQ,QLD,83.0024,84.5315,-1.80891,-1.5291,71900,5967872560
02/15/2024,ProShares Ultra QQQ,QLD,84.5315,84.1949,0.39979,0.3366,72300,6111627450
02/14/2024,ProShares Ultra QQQ,QLD,84.1949,82.2768,2.33128,1.9181,72150,6074662035
02/13/2024,ProShares Ultra QQQ,QLD,82.2768,84.9706,-3.17027,-2.6938,72200,5940384960
02/12/2024,ProShares Ultra QQQ,QLD,84.9706,85.726,-0.88118,-0.7554,72400,6151871440
02/09/2024,ProShares Ultra QQQ,QLD,85.726,84.0421,2.00364,1.6839,72500,6215135000
02/08/2024,ProShares Ultra QQQ,QLD,84.0421,83.8027,0.28567,0.2394,72550,6097254355
02/07/2024,ProShares Ultra QQQ,QLD,83.8027,82.1176,2.05206,1.6851,72500,6075695750
02/06/2024,ProShares Ultra QQQ,QLD,82.1176,82.495,-0.45748,-0.3774,72150,5924784840
02/05/2024,ProShares Ultra QQQ,QLD,82.495,82.7806,-0.34501,-0.2856,72150,5952014250
02/02/2024,ProShares Ultra QQQ,QLD,82.7806,80.0522,3.40828,2.7284,72200,5976759320
02/01/2024,ProShares Ultra QQQ,QLD,80.0522,78.2106,2.35467,1.8416,72450,5799781890
01/31/2024,ProShares Ultra QQQ,QLD,78.2106,81.3925,-3.90933,-3.1819,72450,5666357970
01/30/2024,ProShares Ultra QQQ,QLD,81.3925,82.5119,-1.35665,-1.1194,72650,5913165125
01/29/2024,ProShares Ultra QQQ,QLD,82.5119,80.896,1.99750,1.6159,72750,6002740725
01/26/2024,ProShares Ultra QQQ,QLD,80.896,81.8246,-1.13487,-0.9286,72750,5885184000
01/25/2024,ProShares Ultra QQQ,QLD,81.8246,81.6972,0.15594,0.1274,72850,5960922110
01/24/2024,ProShares Ultra QQQ,QLD,81.6972,80.8283,1.07499,0.8689,72850,5951641020
01/23/2024,ProShares Ultra QQQ,QLD,80.8283,80.1641,0.82855,0.6642,72700,5876217410
01/22/2024,ProShares Ultra QQQ,QLD,80.1641,80.0192,0.18108,0.1449,72150,5783839815
01/19/2024,ProShares Ultra QQQ,QLD,80.0192,77.016,3.89945,3.0032,72250,5781387200
01/18/2024,ProShares Ultra QQQ,QLD,77.016,74.8718,2.86383,2.1442,72550,5587510800
01/17/2024,ProShares Ultra QQQ,QLD,74.8718,75.7369,-1.14224,-0.8651,72350,5416974730
01/16/2024,ProShares Ultra QQQ,QLD,75.7369,75.7753,-0.05068,-0.0384,73050,5532580545
01/12/2024,ProShares Ultra QQQ,QLD,75.7753,75.6857,0.11838,0.0896,73150,5542963195
01/11/2024,ProShares Ultra QQQ,QLD,75.6857,75.4792,0.27359,0.2065,72600,5494781820
01/10/2024,ProShares Ultra QQQ,QLD,75.4792,74.474,1.34973,1.0052,72450,5468468040
01/09/2024,ProShares Ultra QQQ,QLD,74.474,74.2226,0.33871,0.2514,72350,5388193900
01/08/2024,ProShares Ultra QQQ,QLD,74.2226,71.2441,4.18070,2.9785,72350,5370005110
01/05/2024,ProShares Ultra QQQ,QLD,71.2441,71.0558,0.26500,0.1883,72250,5147386225
01/04/2024,ProShares Ultra QQQ,QLD,71.0558,71.8489,-1.10384,-0.7931,72450,5147992710
01/03/2024,ProShares Ultra QQQ,QLD,71.8489,73.4057,-2.12082,-1.5568,72500,5209045250
01/02/2024,ProShares Ultra QQQ,QLD,73.4057,75.9704,-3.37592,-2.5647,73000,5358616100
12/29/2023,ProShares Ultra QQQ,QLD,75.9704,76.6363,-0.86891,-0.6659,73450,5580025880
12/28/2023,ProShares Ultra QQQ,QLD,76.6363,76.7654,-0.16817,-0.1291,73550,5636599865
12/27/2023,ProShares Ultra QQQ,QLD,76.7654,76.5098,0.33407,0.2556,73900,5672963060
12/26/2023,ProShares Ultra QQQ,QLD,76.5098,75.6145,1.18403,0.8953,74100,5669376180
12/22/2023,ProShares Ultra QQQ,QLD,75.6145,75.4362,0.23636,0.1783,73500,5557665750
12/21/2023,ProShares Ultra QQQ,QLD,75.4362,73.7013,2.35396,1.7349,73650,5555876130
12/20/2023,ProShares Ultra QQQ,QLD,73.7013,76.1102,-3.16502,-2.4089,74050,5457581265
12/19/2023,ProShares Ultra QQQ,QLD,76.1102,75.3564,1.00031,0.7538,74050,5635960310
12/18/2023,ProShares Ultra QQQ,QLD,75.3564,74.4216,1.25609,0.9348,74250,5595212700
12/15/2023,ProShares Ultra QQQ,QLD,74.4216,73.6832,1.00213,0.7384,73850,5496035160
12/14/2023,ProShares Ultra QQQ,QLD,73.6832,73.9173,-0.31671,-0.2341,74100,5459925120
12/13/2023,ProShares Ultra QQQ,QLD,73.9173,72.0985,2.52266,1.8188,73750,5451400875
12/12/2023,ProShares Ultra QQQ,QLD,72.0985,70.9543,1.61259,1.1442,73900,5328079150
12/11/2023,ProShares Ultra QQQ,QLD,70.9543,69.7804,1.68228,1.1739,73900,5243522770
12/08/2023,ProShares Ultra QQQ,QLD,69.7804,69.2409,0.77916,0.5395,74050,5167238620
12/07/2023,ProShares Ultra QQQ,QLD,69.2409,67.2973,2.88808,1.9436,74050,5127288645
12/06/2023,ProShares Ultra QQQ,QLD,67.2973,68.0817,-1.15215,-0.7844,74050,4983365065
12/05/2023,ProShares Ultra QQQ,QLD,68.0817,67.7659,0.46602,0.3158,74100,5044853970
12/04/2023,ProShares Ultra QQQ,QLD,67.7659,69.131,-1.97466,-1.3651,74200,5028229780
12/01/2023,ProShares Ultra QQQ,QLD,69.131,68.7183,0.60057,0.4127,74450,5146802950
11/30/2023,ProShares Ultra QQQ,QLD,68.7183,69.0726,-0.51294,-0.3543,74600,5126385180
11/29/2023,ProShares Ultra QQQ,QLD,69.0726,69.2618,-0.27317,-0.1892,74600,5152815960
