Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/01/2024,ProShares UltraShort S&P500,SDS,26.1395,26.547,-1.53501,-0.4075,22806.25,596143945.7355
02/29/2024,ProShares UltraShort S&P500,SDS,26.547,26.8158,-1.00239,-0.2688,23306.25,618710992.203
02/28/2024,ProShares UltraShort S&P500,SDS,26.8158,26.7215,0.35290,0.0943,23256.25,623634921.9342
02/27/2024,ProShares UltraShort S&P500,SDS,26.7215,26.8037,-0.30667,-0.0822,23656.25,632130457.6535
02/26/2024,ProShares UltraShort S&P500,SDS,26.8037,26.5928,0.79307,0.2109,23506.25,630054446.3213
02/23/2024,ProShares UltraShort S&P500,SDS,26.5928,26.5946,-0.00677,-0.0018,23106.25,614459858.4072
02/22/2024,ProShares UltraShort S&P500,SDS,26.5946,27.7456,-4.14841,-1.151,23506.25,625139289.6554
02/21/2024,ProShares UltraShort S&P500,SDS,27.7456,27.8065,-0.21901,-0.0609,22956.25,636934902.2544
02/20/2024,ProShares UltraShort S&P500,SDS,27.8065,27.4692,1.22792,0.3373,22956.25,638332937.8185
02/16/2024,ProShares UltraShort S&P500,SDS,27.4692,27.1903,1.02573,0.2789,23256.25,638830555.0308
02/15/2024,ProShares UltraShort S&P500,SDS,27.1903,27.4937,-1.10353,-0.3034,23206.25,630984872.1847
02/14/2024,ProShares UltraShort S&P500,SDS,27.4937,28.0286,-1.90841,-0.5349,22756.25,625653483.1313
02/13/2024,ProShares UltraShort S&P500,SDS,28.0286,27.2801,2.74376,0.7485,22906.25,642030090.7214
02/12/2024,ProShares UltraShort S&P500,SDS,27.2801,27.222,0.21343,0.0581,22906.25,624884763.3449
02/09/2024,ProShares UltraShort S&P500,SDS,27.222,27.52,-1.08285,-0.298,22606.25,615387310.278
02/08/2024,ProShares UltraShort S&P500,SDS,27.52,27.5373,-0.06282,-0.0173,22756.25,626251972.48
02/07/2024,ProShares UltraShort S&P500,SDS,27.5373,27.9881,-1.61068,-0.4508,22456.25,618384465.5877
02/06/2024,ProShares UltraShort S&P500,SDS,27.9881,28.1088,-0.42940,-0.1207,22606.25,632705957.6369
02/05/2024,ProShares UltraShort S&P500,SDS,28.1088,27.921,0.67261,0.1878,22806.25,641056291.8912
02/02/2024,ProShares UltraShort S&P500,SDS,27.921,28.5141,-2.08002,-0.5931,22806.25,636773278.329
02/01/2024,ProShares UltraShort S&P500,SDS,28.5141,29.2197,-2.41481,-0.7056,24206.25,690219404.6109
01/31/2024,ProShares UltraShort S&P500,SDS,29.2197,28.2987,3.25457,0.921,21956.25,641555008.9053
01/30/2024,ProShares UltraShort S&P500,SDS,28.2987,28.2592,0.13978,0.0395,22256.25,629822913.5763
01/29/2024,ProShares UltraShort S&P500,SDS,28.2592,28.681,-1.47066,-0.4218,22256.25,628943791.7408
01/26/2024,ProShares UltraShort S&P500,SDS,28.681,28.622,0.20614,0.059,22656.25,649803877.569
01/25/2024,ProShares UltraShort S&P500,SDS,28.622,28.9048,-0.97838,-0.2828,24806.25,710004458.878
01/24/2024,ProShares UltraShort S&P500,SDS,28.9048,28.9403,-0.12267,-0.0355,22006.25,636086226.0952
01/23/2024,ProShares UltraShort S&P500,SDS,28.9403,29.1009,-0.55187,-0.1606,22106.25,639761477.9347
01/22/2024,ProShares UltraShort S&P500,SDS,29.1009,29.219,-0.40419,-0.1181,22106.25,643311741.5241
01/19/2024,ProShares UltraShort S&P500,SDS,29.219,29.9376,-2.40033,-0.7186,22006.25,643000589.531
01/18/2024,ProShares UltraShort S&P500,SDS,29.9376,30.452,-1.68922,-0.5144,23906.25,715695720.0624
01/17/2024,ProShares UltraShort S&P500,SDS,30.452,30.1036,1.15734,0.3484,21506.25,654908294.548
01/16/2024,ProShares UltraShort S&P500,SDS,30.1036,29.8707,0.77969,0.2329,21806.25,656446597.3964
01/12/2024,ProShares UltraShort S&P500,SDS,29.8707,29.8943,-0.07894,-0.0236,21806.25,651367922.0043
01/11/2024,ProShares UltraShort S&P500,SDS,29.8943,29.824,0.23572,0.0703,25206.25,753523169.4807
01/10/2024,ProShares UltraShort S&P500,SDS,29.824,30.1552,-1.09832,-0.3312,21556.25,642893570.176
01/09/2024,ProShares UltraShort S&P500,SDS,30.1552,30.0616,0.31136,0.0936,21706.25,654556279.8448
01/08/2024,ProShares UltraShort S&P500,SDS,30.0616,30.9261,-2.79537,-0.8645,21856.25,657033814.9384
01/05/2024,ProShares UltraShort S&P500,SDS,30.9261,31.0173,-0.29403,-0.0912,21206.25,655826577.1989
01/04/2024,ProShares UltraShort S&P500,SDS,31.0173,30.7878,0.74543,0.2295,24306.25,753914217.1077
01/03/2024,ProShares UltraShort S&P500,SDS,30.7878,30.293,1.63338,0.4948,22506.25,692917892.9622
01/02/2024,ProShares UltraShort S&P500,SDS,30.293,29.946,1.15875,0.347,22506.25,681781800.957
12/29/2023,ProShares UltraShort S&P500,SDS,29.946,29.7559,0.63886,0.1901,22506.25,673972132.554
12/28/2023,ProShares UltraShort S&P500,SDS,29.7559,29.7503,0.01882,0.0056,27556.25,819960989.6191
12/27/2023,ProShares UltraShort S&P500,SDS,29.7503,29.8311,-0.27086,-0.0808,23156.25,688905354.6247
12/26/2023,ProShares UltraShort S&P500,SDS,29.8311,30.0749,-0.81064,-0.2438,23206.25,692267934.5439
12/22/2023,ProShares UltraShort S&P500,SDS,30.0749,30.149,-0.24578,-0.0741,22956.25,690406893.0501
12/21/2023,ProShares UltraShort S&P500,SDS,30.149,30.7485,-1.94969,-0.5995,25856.25,779540051.101
12/20/2023,ProShares UltraShort S&P500,SDS,30.7485,30.4497,0.98129,0.2988,23056.25,708945072.3765
12/19/2023,ProShares UltraShort S&P500,SDS,30.4497,30.8037,-1.14921,-0.354,23056.25,702055865.1753
12/18/2023,ProShares UltraShort S&P500,SDS,30.8037,31.0747,-0.87209,-0.271,23156.25,713298147.3213
12/15/2023,ProShares UltraShort S&P500,SDS,31.0747,31.0506,0.07762,0.0241,22856.25,710251080.8003
12/14/2023,ProShares UltraShort S&P500,SDS,31.0506,31.2017,-0.48427,-0.1511,25106.25,779564095.1994
12/13/2023,ProShares UltraShort S&P500,SDS,31.2017,32.0648,-2.69174,-0.8631,23156.25,722514334.4233
12/12/2023,ProShares UltraShort S&P500,SDS,32.0648,32.3519,-0.88743,-0.2871,23256.25,745706972.9352
12/11/2023,ProShares UltraShort S&P500,SDS,32.3519,32.5954,-0.74704,-0.2435,23606.25,763707007.0231
12/08/2023,ProShares UltraShort S&P500,SDS,32.5954,32.8433,-0.75480,-0.2479,23706.25,772714668.6546
12/07/2023,ProShares UltraShort S&P500,SDS,32.8433,33.3543,-1.53204,-0.511,24556.25,806508252.7817
12/06/2023,ProShares UltraShort S&P500,SDS,33.3543,33.0847,0.81488,0.2696,23306.25,777363621.0207
12/05/2023,ProShares UltraShort S&P500,SDS,33.0847,33.0358,0.14802,0.0489,23206.25,767771786.2903
12/04/2023,ProShares UltraShort S&P500,SDS,33.0358,32.6711,1.11628,0.3647,23306.25,769940580.7142
12/01/2023,ProShares UltraShort S&P500,SDS,32.6711,33.0382,-1.11114,-0.3671,24206.25,790844781.7039
11/30/2023,ProShares UltraShort S&P500,SDS,33.0382,33.2804,-0.72776,-0.2422,24456.25,807990445.7118
11/29/2023,ProShares UltraShort S&P500,SDS,33.2804,33.2148,0.19750,0.0656,23056.25,767321189.2196
11/28/2023,ProShares UltraShort S&P500,SDS,33.2148,33.2653,-0.15181,-0.0505,23256.25,772451659.2852
11/27/2023,ProShares UltraShort S&P500,SDS,33.2653,33.1249,0.42385,0.1404,23356.25,776952629.8597
11/24/2023,ProShares UltraShort S&P500,SDS,33.1249,33.1449,-0.06034,-0.02,23356.25,773673412.5001
11/22/2023,ProShares UltraShort S&P500,SDS,33.1449,33.3839,-0.71591,-0.239,25556.25,847059317.4801
11/21/2023,ProShares UltraShort S&P500,SDS,33.3839,33.229,0.46616,0.1549,23206.25,774715095.9911
11/20/2023,ProShares UltraShort S&P500,SDS,33.229,33.7221,-1.46225,-0.4931,23356.25,776104798.021
11/17/2023,ProShares UltraShort S&P500,SDS,33.7221,33.7889,-0.19770,-0.0668,23656.25,797738394.4029
11/16/2023,ProShares UltraShort S&P500,SDS,33.7889,33.8542,-0.19289,-0.0653,26656.25,900685331.8361
11/15/2023,ProShares UltraShort S&P500,SDS,33.8542,33.962,-0.31741,-0.1078,23156.25,783936284.8958
11/14/2023,ProShares UltraShort S&P500,SDS,33.962,35.3088,-3.81435,-1.3468,23206.25,788130628.538
11/13/2023,ProShares UltraShort S&P500,SDS,35.3088,35.2395,0.19665,0.0693,23406.25,826446564.6912
11/10/2023,ProShares UltraShort S&P500,SDS,35.2395,36.3655,-3.09634,-1.126,23756.25,837158336.6355
11/09/2023,ProShares UltraShort S&P500,SDS,36.3655,35.7679,1.67077,0.5976,27106.25,985732298.0095
11/08/2023,ProShares UltraShort S&P500,SDS,35.7679,35.8281,-0.16802,-0.0602,22606.25,808578053.6071
